time_s,distance_m,rx_bytes,throughput_mbps
1.0000,11.000,24780000,396.4800
1.5000,16.000,19856200,317.6992
2.0000,21.000,13669600,218.7136
2.5000,26.000,9770600,156.3296
3.0000,31.000,6426000,102.8160
3.5000,36.000,4309200,68.9472
4.0000,41.000,1782200,28.5152
4.5000,46.000,1047200,16.7552
5.0000,51.000,184800,2.9568
5.5000,56.000,61600,0.9856
6.0000,61.000,0,0.0000
6.5000,66.000,0,0.0000
7.0000,71.000,0,0.0000
7.5000,76.000,0,0.0000
8.0000,81.000,0,0.0000
8.5000,86.000,0,0.0000
9.0000,91.000,0,0.0000
9.5000,96.000,0,0.0000
10.0000,101.000,0,0.0000
