field,value,count
mcs,0,4521
mcs,1,6688
mcs,2,13948
mcs,3,12936
mcs,4,20592
mcs,5,5632
mcs,6,7744
mcs,7,14432
mcs,8,4928
mcs,9,18115
mcs,10,176
mcs,11,132
width,20,129
width,80,109715
nss,1,4521
nss,2,105323
total_phy_tx,0,109844
rx_bytes_total,0,83553400
