time_s,distance_m,rx_bytes,throughput_mbps
1.0000,3.000,35700000,571.2000
1.5000,4.000,35155400,562.4864
2.0000,5.000,32800600,524.8096
2.5000,6.000,31729600,507.6736
3.0000,7.000,29666000,474.6560
3.5000,8.000,28891800,462.2688
4.0000,9.000,26754000,428.0640
4.5000,10.000,24851400,397.6224
5.0000,11.000,22866200,365.8592
5.5000,12.000,20818000,333.0880
6.0000,13.000,19818400,317.0944
6.5000,14.000,17509800,280.1568
7.0000,15.000,15141000,242.2560
7.5000,16.000,14439600,231.0336
8.0000,17.000,14621600,233.9456
8.5000,18.000,11025000,176.4000
9.0000,19.000,13167000,210.6720
9.5000,20.000,9067800,145.0848
10.0000,21.000,8456000,135.2960
