time_s,distance_m,rx_bytes,throughput_mbps
1.0000,11.000,25321800,405.1488
1.5000,16.000,18541600,296.6656
2.0000,21.000,10582600,169.3216
2.5000,26.000,6057800,96.9248
3.0000,31.000,4548600,72.7776
3.5000,36.000,2508800,40.1408
4.0000,41.000,1051400,16.8224
4.5000,46.000,852600,13.6416
5.0000,51.000,588000,9.4080
5.5000,56.000,58800,0.9408
6.0000,61.000,36400,0.5824
6.5000,66.000,0,0.0000
7.0000,71.000,0,0.0000
7.5000,76.000,0,0.0000
8.0000,81.000,0,0.0000
8.5000,86.000,0,0.0000
9.0000,91.000,0,0.0000
9.5000,96.000,0,0.0000
10.0000,101.000,0,0.0000
