field,value,count
mcs,0,5482
mcs,1,121
mcs,2,924
mcs,3,1144
mcs,4,8624
mcs,5,13627
mcs,6,8210
mcs,7,5896
mcs,8,2640
mcs,9,2421
mcs,10,2053
mcs,11,1936
width,20,2993
width,40,7837
width,80,42248
nss,1,11578
nss,2,41500
total_phy_tx,0,53078
rx_bytes_total,0,23686600
