time_s,distance_m,rx_bytes,throughput_mbps
1.0000,3.000,37219000,595.5040
1.5000,4.000,35396200,566.3392
2.0000,5.000,33216400,531.4624
2.5000,6.000,33798800,540.7808
3.0000,7.000,30605400,489.6864
3.5000,8.000,28067200,449.0752
4.0000,9.000,27839000,445.4240
4.5000,10.000,24834600,397.3536
5.0000,11.000,22688400,363.0144
5.5000,12.000,20972000,335.5520
6.0000,13.000,20077400,321.2384
6.5000,14.000,15542800,248.6848
7.0000,15.000,17691800,283.0688
7.5000,16.000,14512400,232.1984
8.0000,17.000,15111600,241.7856
8.5000,18.000,13367200,213.8752
9.0000,19.000,11127200,178.0352
9.5000,20.000,8751400,140.0224
10.0000,21.000,9044000,144.7040
