field,value,count
mcs,0,4981
mcs,1,2728
mcs,2,8140
mcs,3,6644
mcs,4,11044
mcs,5,2464
mcs,6,2508
mcs,7,5880
mcs,8,1672
mcs,9,2464
width,20,127
width,80,48398
nss,1,4981
nss,2,43544
total_phy_tx,0,48525
rx_bytes_total,0,29927800
