field,value,count
mcs,0,4249
mcs,1,797
mcs,2,2355
mcs,3,4335
mcs,4,50034
mcs,5,17755
mcs,6,32927
mcs,7,15155
mcs,8,23804
mcs,9,58432
mcs,10,8096
mcs,11,8269
width,20,7526
width,40,21768
width,80,196914
nss,1,22044
nss,2,204164
total_phy_tx,0,226208
rx_bytes_total,0,163700600
