field,value,count
mcs,0,3333
mcs,1,7744
mcs,2,22352
mcs,3,28116
mcs,4,42900
mcs,5,10956
mcs,6,13728
mcs,7,27456
mcs,8,10252
mcs,9,45760
mcs,10,3955
mcs,11,3212
mcs,12,572
mcs,13,88
width,20,129
width,80,220295
nss,1,3333
nss,2,217091
total_phy_tx,0,220424
rx_bytes_total,0,189105000
