field,value,count
mcs,0,4516
mcs,1,5984
mcs,2,14872
mcs,3,13332
mcs,4,20108
mcs,5,5984
mcs,6,7700
mcs,7,15400
mcs,8,4884
mcs,9,18204
mcs,10,264
mcs,11,44
width,20,137
width,80,111155
nss,1,4516
nss,2,106776
total_phy_tx,0,111292
rx_bytes_total,0,85003800
