field,value,count
mcs,0,5444
mcs,1,209
mcs,2,924
mcs,3,955
mcs,4,11440
mcs,5,14965
mcs,6,8219
mcs,7,2752
mcs,8,2244
mcs,9,2464
mcs,10,1760
mcs,11,2327
width,20,2601
width,40,6440
width,80,44662
nss,1,11239
nss,2,42464
total_phy_tx,0,53703
rx_bytes_total,0,24913000
