field,value,count
mcs,0,4416
mcs,1,385
mcs,2,572
mcs,3,11494
mcs,4,28952
mcs,5,43371
mcs,6,8201
mcs,7,24840
mcs,8,32340
mcs,9,71720
mcs,10,5593
mcs,11,4664
width,20,7422
width,40,17280
width,80,211846
nss,1,16795
nss,2,219753
total_phy_tx,0,236548
rx_bytes_total,0,154336000
