field,value,count
mcs,0,6074
mcs,1,88
mcs,2,88
mcs,3,44
mcs,4,176
mcs,5,220
mcs,6,6908
mcs,7,15224
mcs,8,176
mcs,9,38676
mcs,10,88
mcs,11,428
width,20,3144
width,40,882
width,80,64164
nss,1,6470
nss,2,61720
total_phy_tx,0,68190
rx_bytes_total,0,11403000
