run_id,manager,standard,width_mhz,nss,gi_ns,step_size_db,step_time_s,seed,series,snr_db,rate_mbps,wall_s
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,26.0,114.706,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,25.0,114.706,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,24.0,87.75,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,23.0,81.25,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,22.0,81.25,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,21.0,81.25,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,20.0,81.25,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,19.0,73.125,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,18.0,68.8235,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,17.0,68.8235,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,16.0,48.75,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,15.0,48.75,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,14.0,48.75,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,13.0,48.75,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,12.0,48.75,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,11.0,34.4118,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,10.0,34.4118,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,9.0,25.8088,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,8.0,25.8088,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,7.0,25.8088,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,6.0,25.8088,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,selected,5.0,103.235,4.652594804763794
MinstrelHt_802.11ax-5GHz_20MHz_1ss_800ns_st1.0_s1,MinstrelHt,802.11ax-5GHz,20,1,800,1.0,1.0,1,observed,55.0,63.8403,4.652594804763794
